,Diario,Titular,Pos,Neg,Neu,Extensión,Link,Fecha,Autor,Recogido,Obj_link
157,Público,"Gabilondo recrimina a Ayuso que convierta Madrid ""en el lugar de la fiesta en medio de la pandemia""",0.0019513635197654,0.993232250213623,0.0048163668252527,18,https://www.publico.es//external/210420170139-publico-gabilondo-recrimina-ayuso-convierta-madrid-lugar-fiesta-medio-pandemia-949110.html,2021-04-19,[],03-05-21,<diario.Link object at 0x14e322e10>
190,El País,Ayuso en Moncloa y Aguado con Aguirre,0.0333066098392009,0.3421178162097931,0.6245755553245544,7,https://elpais.com/espana/elecciones-madrid/2021-04-19/ayuso-en-la-moncloa-y-aguado-con-aguirre.html,2021-04-19,"['Manuel Viejo', 'Bruno Thevenin', 'Más Madrid', 'Europa Press']",21-04-21,
155,eldiario.es,Ayuso mete en campaña a Marta Rivera de la Cruz pese a que sigue formalmente en Ciudadanos,0.0075321262702345,0.919611394405365,0.0728564560413359,17,https://www.eldiario.es/madrid/marta-rivera-cruz-reaparece-campana-acto-puerta-sol-ayuso_1_7834621.html,2021-04-19,"['Fátima Caballero', 'Comunidad De Madrid.', 'Raúl Sánchez', 'Ana Ordaz', 'Victòria Oliveres', 'Canarias Ahora', 'Javier Biosca Azcoiti', 'Neus Tomàs', 'Rosa María Artal']",21-04-21,
170,ABC,Edmundo Bal aboga por la experiencia del Gobierno PP-Ciudadanos frente al «experimento» de Vox,0.0657374560832977,0.1331350803375244,0.8011274337768555,14,https://www.abc.es/espana/abci-edmundo-aboga-experiencia-gobierno-pp-ciudadanos-frente-experimento-202104191121_noticia.html,2021-04-19,[],21-04-21,
171,ABC,En Cataluña no ganaría Díaz Ayuso,0.0147336842492222,0.561933696269989,0.4233326613903045,6,https://www.abc.es/espana/catalunya/abci-joan-lopez-cataluna-no-ganaria-diaz-ayuso-202104191015_noticia.html,2021-04-19,[],21-04-21,
156,Público,Elecciones en Madrid: Elecciones 4M. Sanidad y educación,0.0428525209426879,0.0956785380840301,0.8614689111709595,8,https://www.publico.es//politica/elecciones-madrid-vivienda-sanidad-educacion-migraciones-urgente-proponen-partidos.html,2021-04-19,[],03-05-21,<diario.Link object at 0x14e2cd588>
173,ABC,El PNV ve «preocupante» que Sánchez «condicione» la toma de decisiones a las elecciones en Madrid,0.0029250441584736,0.9917106628417968,0.0053643048740923,16,https://www.abc.es/espana/abci-preocupante-sanchez-condicione-toma-decisiones-elecciones-madrid-202104191110_noticia.html,2021-04-19,[],21-04-21,
172,ABC,Aguirre pide a Casado «humildad» y que siga la estrategia de Ayuso porque la suya «no ha dado resultado»,0.0074564162641763,0.905101478099823,0.0874421894550323,19,https://www.abc.es/espana/abci-aguirre-pide-casado-humildad-y-siga-estrategia-ayuso-porque-suya-no-dado-resultado-202104191030_noticia.html,2021-04-19,[],21-04-21,
187,ABC,Las frases de Pablo Casado durante su entrevista con ABC,0.0315993502736091,0.0263776872307062,0.942022979259491,10,https://www.abc.es/espana/abci-frases-pablo-casado-durante-entrevista-abc-202104191404_noticia.html,2021-04-19,[],21-04-21,
186,El Español,Críticas al 'Telediario' de TVE por la desigual cobertura dada a Unidas Podemos,0.0051720002666115,0.9526469707489014,0.0421810932457447,13,https://www.elespanol.com/bluper/20210419/criticas-telediario-tve-desigual-cobertura-unidas-podemos/574942816_0.html,2021-04-19,[],21-04-21,
