,titular,diario,fecha,todo
313,Elecciones Madrid El uso de ' nazismo ' y ' Holocausto ' en la campaña electoral : lo que piensa la comunidad judía,ABC,2021-04-28,"Elecciones Madrid El uso de ' nazismo ' y ' Holocausto ' en la campaña electoral : lo que piensa la comunidad judía (ABC, 2021-04-28) | "
314," « Estás muerta » y « fascista » , las amenazas que recibía Ayuso en la carta",ABC,2021-04-28," « Estás muerta » y « fascista » , las amenazas que recibía Ayuso en la carta (ABC, 2021-04-28) | "
315,La celebración del Dos de Mayo como colofón de la campaña electoral dispara la tensión entre los partidos,El País,2021-04-29,"La celebración del Dos de Mayo como colofón de la campaña electoral dispara la tensión entre los partidos (El País, 2021-04-29) | "
316,Podcast ‘ La batalla por Madrid ’ | Ep . 9 : ¿ Es Madrid un paraíso fiscal ? ,El País,2021-04-29,"Podcast ‘ La batalla por Madrid ’ | Ep . 9 : ¿ Es Madrid un paraíso fiscal ?  (El País, 2021-04-29) | "
317,El PP propone que las víctimas de ETA tengan voz sobre la situación penitenciaria de los presos de la banda,eldiario.es,2021-04-28,"El PP propone que las víctimas de ETA tengan voz sobre la situación penitenciaria de los presos de la banda (eldiario.es, 2021-04-28) | "
318," "" Traidor , amargada , rata , fascista "" : Cs despliega una lona y pide que vuelva "" el Madrid de la concordia "" ",El Español,2021-04-29," "" Traidor , amargada , rata , fascista "" : Cs despliega una lona y pide que vuelva "" el Madrid de la concordia ""  (El Español, 2021-04-29) | "
319,El PSOE da otro bandazo en la campaña y Gabilondo ya sólo lucha por el liderazgo de la izquierda,El Español,2021-04-29,"El PSOE da otro bandazo en la campaña y Gabilondo ya sólo lucha por el liderazgo de la izquierda (El Español, 2021-04-29) | "
320,"Iglesias encaja otro golpe de hemeroteca : « No hay que lloriquear por las amenazas » , decía en 2019",ABC,2021-04-29,"Iglesias encaja otro golpe de hemeroteca : « No hay que lloriquear por las amenazas » , decía en 2019 (ABC, 2021-04-29) | "
321,Falsedades y medias verdades en campaña | De la inexistente condena al PP por ‘ organización criminal ’ al supuesto mejor hospital de pandemias del mundo,El País,2021-04-29,"Falsedades y medias verdades en campaña | De la inexistente condena al PP por ‘ organización criminal ’ al supuesto mejor hospital de pandemias del mundo (El País, 2021-04-29) | "
322, ‘ Podcast ’ ‘ La batalla por Madrid ’ | Ep . 10 : Lucha de gigantes,El País,2021-04-30," ‘ Podcast ’ ‘ La batalla por Madrid ’ | Ep . 10 : Lucha de gigantes (El País, 2021-04-30) | "
