,titular,diario,fecha,todo
0," El Programa de Ana Rosa ' califica el acoso de nazis a Pablo Iglesias como "" jarabe democrático "" ",El Español,31-03-2021," El Programa de Ana Rosa ' califica el acoso de nazis a Pablo Iglesias como "" jarabe democrático ""  (El Español, 31-03-2021) | "
1,"Abascal contra Enrique Santiago , nuevo secretario de Estado : "" Sueña con asesinar a los Reyes "" ",El Español,01-04-2021,"Abascal contra Enrique Santiago , nuevo secretario de Estado : "" Sueña con asesinar a los Reyes ""  (El Español, 01-04-2021) | "
2,Ada Colau : Díaz Ayuso representa el neofascismo  ,ABC,17-03-2021,"Ada Colau : Díaz Ayuso representa el neofascismo   (ABC, 17-03-2021) | "
3,"Alberto Garzón : "" Hay una derecha capitaneada por Ayuso y por Vox que hace bandera de la desigualdad en España "" ",eldiario.es,03/04-2021,"Alberto Garzón : "" Hay una derecha capitaneada por Ayuso y por Vox que hace bandera de la desigualdad en España ""  (eldiario.es, 03/04-2021) | "
4,"Almeida : "" ¿ Madrileñofobia ? Moncloa estigmatiza Madrid porque es la gran amenaza para Sánchez "" ",El Mundo,27-03-2021,"Almeida : "" ¿ Madrileñofobia ? Moncloa estigmatiza Madrid porque es la gran amenaza para Sánchez ""  (El Mundo, 27-03-2021) | "
5,Almeida afirma que Iglesias está mucho más cerca de la cárcel de lo que estará Ayuso en su vida  ,El Español,22-03-2021,"Almeida afirma que Iglesias está mucho más cerca de la cárcel de lo que estará Ayuso en su vida   (El Español, 22-03-2021) | "
6,"Así funciona Bastión Frontal , el grupo neonazi que surge con violencia en barrios obreros",El Español,03-04-2021,"Así funciona Bastión Frontal , el grupo neonazi que surge con violencia en barrios obreros (El Español, 03-04-2021) | "
7,Así se han roto los dos años de amor y odio en el gobierno de Madrid,Público,marzo de 2021,"Así se han roto los dos años de amor y odio en el gobierno de Madrid (Público, marzo de 2021) | "
8,"Atacan con material explosivo la sede de Podemos en Cartagena : "" Es un atentado terrorista "" ",El Español,02-04-2021,"Atacan con material explosivo la sede de Podemos en Cartagena : "" Es un atentado terrorista ""  (El Español, 02-04-2021) | "
9,Ayuso : Pablo Iglesias es odio. Lleva un programa que fomenta la expropiación y okupación  ,El Español,22-03-2021,"Ayuso : Pablo Iglesias es odio. Lleva un programa que fomenta la expropiación y okupación   (El Español, 22-03-2021) | "
10,Ayuso acusa a Sánchez de llevar a una preguerra civil a España : Disfruta viendo todo arder  ,El Español,19-02-2021,"Ayuso acusa a Sánchez de llevar a una preguerra civil a España : Disfruta viendo todo arder   (El Español, 19-02-2021) | "
11,"Ayuso acusa a Sánchez de querer acabar con el modelo del 78 por pactar con Podemos , ser socio de golpistas o acercar al asesino de Miguel Ángel Blanco",El Mundo,05-04-2021,"Ayuso acusa a Sánchez de querer acabar con el modelo del 78 por pactar con Podemos , ser socio de golpistas o acercar al asesino de Miguel Ángel Blanco (El Mundo, 05-04-2021) | "
12,Ayuso aprieta el botón rojo : así fulminó a los consejeros de Cs para adelantarse a una moción  ,ABC,11-03-2021,"Ayuso aprieta el botón rojo : así fulminó a los consejeros de Cs para adelantarse a una moción   (ABC, 11-03-2021) | "
13,Ayuso dice que cuando hay un movimiento terrorista siempre están los apellidos de Podemos detrás,Público,marzo de 2021,"Ayuso dice que cuando hay un movimiento terrorista siempre están los apellidos de Podemos detrás (Público, marzo de 2021) | "
14,Ayuso dice que le repugna el paternalismo de por tu bien bajo el que se quiere cerrar perimetralmente  ,ABC,08-03-2021,"Ayuso dice que le repugna el paternalismo de por tu bien bajo el que se quiere cerrar perimetralmente   (ABC, 08-03-2021) | "
15,"Ayuso responde al « acoso » de Sánchez : « El PSOE es un refugio de golpistas , batasunos , okupas y bolivarianos »",ABC,05-04-2021,"Ayuso responde al « acoso » de Sánchez : « El PSOE es un refugio de golpistas , batasunos , okupas y bolivarianos » (ABC, 05-04-2021) | "
16,"Ayuso reta a Sánchez tras sus "" ataques "" a Madrid : "" Mirándole a los ojos , nos vemos el 4-M en las urnas "" ",El Español,05-04-2021,"Ayuso reta a Sánchez tras sus "" ataques "" a Madrid : "" Mirándole a los ojos , nos vemos el 4-M en las urnas ""  (El Español, 05-04-2021) | "
17,Ayuso se blinda con un núcleo de puro PP y Toni Cantó como número 5,ABC,31-03-2021,"Ayuso se blinda con un núcleo de puro PP y Toni Cantó como número 5 (ABC, 31-03-2021) | "
18,Ayuso sondea a cargos de Ciudadanos mientras avanza la sangría de bajas  ,El País,16-03-2021,"Ayuso sondea a cargos de Ciudadanos mientras avanza la sangría de bajas   (El País, 16-03-2021) | "
19,"Ayuso y Aguado : en guerra ayer, hoy y mañana  ",El País,11-03-2021,"Ayuso y Aguado : en guerra ayer, hoy y mañana   (El País, 11-03-2021) | "
20,Ayuso y Almeida exigen a Sánchez que destituya a Iglesias por alentar a los que dinamitan la convivencia  ,ABC,18-02-2021,"Ayuso y Almeida exigen a Sánchez que destituya a Iglesias por alentar a los que dinamitan la convivencia   (ABC, 18-02-2021) | "
21,"Ayuso, sobre Iglesias: «Es puro odio y le gustaría ver a sus adversarios políticos en la cárcel»",ABC,22-03-2021,"Ayuso, sobre Iglesias: «Es puro odio y le gustaría ver a sus adversarios políticos en la cárcel» (ABC, 22-03-2021) | "
22,Bal no detiene la sangría  ,ABC,21-03-2021,"Bal no detiene la sangría   (ABC, 21-03-2021) | "
23,Batalla decisiva en el centroderecha  ,El País,13-03-2021,"Batalla decisiva en el centroderecha   (El País, 13-03-2021) | "
24,"Bertrand Ndongo , asesor de Rocío Monasterio , se rebela contra su partido : "" Damos la razón a los que piensan que Vox es racista "" ",El Mundo,06-04-2021,"Bertrand Ndongo , asesor de Rocío Monasterio , se rebela contra su partido : "" Damos la razón a los que piensan que Vox es racista ""  (El Mundo, 06-04-2021) | "
25,"Calviño , Díaz y Belarra prometen sus nuevos cargos ante el Rey tras la marcha de Iglesias del Gobierno",ABC,31-03-2021,"Calviño , Díaz y Belarra prometen sus nuevos cargos ante el Rey tras la marcha de Iglesias del Gobierno (ABC, 31-03-2021) | "
26,"Cárcel, exilio o ser asesinados Las Juventudes Socialistas dispuestas a lo que sea contra Ayuso  ",ABC,23-03-2021,"Cárcel, exilio o ser asesinados Las Juventudes Socialistas dispuestas a lo que sea contra Ayuso   (ABC, 23-03-2021) | "
27,Casado pospone la batalla por el control del PP de Madrid que enfrenta a Ayuso y Almeida,Público,marzo de 2021,"Casado pospone la batalla por el control del PP de Madrid que enfrenta a Ayuso y Almeida (Público, marzo de 2021) | "
28,"Casado y Ayuso : Si Ciudadanos se atreve en Murcia, apretamos el botón nuclear  ",El País,10-03-2021,"Casado y Ayuso : Si Ciudadanos se atreve en Murcia, apretamos el botón nuclear   (El País, 10-03-2021) | "
29,"Casado, tras conocer que Iglesias se presenta a la Comunidad de Madrid : Comunismo o libertad  ",ABC,15-03-2021,"Casado, tras conocer que Iglesias se presenta a la Comunidad de Madrid : Comunismo o libertad   (ABC, 15-03-2021) | "
30,Ceses por decenas en la batalla a sangre y fuego de los exsocios PP y Cs en Madrid  ,ABC,15-03-2021,"Ceses por decenas en la batalla a sangre y fuego de los exsocios PP y Cs en Madrid   (ABC, 15-03-2021) | "
31,Cinco argumentos para vaticinar la muerte de Ciudadanos y los cinco antídotos de Arrimadas,El Español,26-03-2021,"Cinco argumentos para vaticinar la muerte de Ciudadanos y los cinco antídotos de Arrimadas (El Español, 26-03-2021) | "
32,Cintora manipula en TVE las palabras de una turista para atacar a Ayuso,ABC,31-03-2021,"Cintora manipula en TVE las palabras de una turista para atacar a Ayuso (ABC, 31-03-2021) | "
33,Ciudadanos : suicidio o resurrección  ,El Español,11-03-2021,"Ciudadanos : suicidio o resurrección   (El Español, 11-03-2021) | "
34,Comunismo fetén,ABC,01-04-2021,"Comunismo fetén (ABC, 01-04-2021) | "
35,Comunismo o Díaz Ayuso  ,ABC,16-03-2021,"Comunismo o Díaz Ayuso   (ABC, 16-03-2021) | "
36,Comunismo o libertad : un eslogan que desnuda a Iglesias,El Español,05-04-2021,"Comunismo o libertad : un eslogan que desnuda a Iglesias (El Español, 05-04-2021) | "
37,Condenado por golpear a un guardia civil durante una protesta frente a la casa de Iglesias y Montero  ,El País,05-02-2021,"Condenado por golpear a un guardia civil durante una protesta frente a la casa de Iglesias y Montero   (El País, 05-02-2021) | "
38,"Cuando te llaman fascista, lo estás haciendo bien : la frase de Ayuso que ha dinamitado la Red  ",El Español,15-03-2021,"Cuando te llaman fascista, lo estás haciendo bien : la frase de Ayuso que ha dinamitado la Red   (El Español, 15-03-2021) | "
39,Delegado del Gobierno : Me gustaría que Podemos condenase la violencia  ,El País,19-02-2021,"Delegado del Gobierno : Me gustaría que Podemos condenase la violencia   (El País, 19-02-2021) | "
40,Díaz capitaneará Unidas Podemos en La Moncloa e Iglesias seguirá apretando a Sánchez desde fuera,ABC,02-04-2021,"Díaz capitaneará Unidas Podemos en La Moncloa e Iglesias seguirá apretando a Sánchez desde fuera (ABC, 02-04-2021) | "
41,"El 4-M reedita la guerra Sánchez-Iglesias : el PSOE veta a los "" extremistas "" y Podemos a Ciudadanos",El Español,28-03-2021,"El 4-M reedita la guerra Sánchez-Iglesias : el PSOE veta a los "" extremistas "" y Podemos a Ciudadanos (El Español, 28-03-2021) | "
42,El adelanto electoral en Madrid fuerza a los partidos a un cambio radical de estrategias,El País,27-03-2021,"El adelanto electoral en Madrid fuerza a los partidos a un cambio radical de estrategias (El País, 27-03-2021) | "
43,El bloque de izquierda se rearma en Madrid empujado por el oxígeno del CIS,El País,05-04-2021,"El bloque de izquierda se rearma en Madrid empujado por el oxígeno del CIS (El País, 05-04-2021) | "
44,El cierre perimetral de Semana Santa resucita el fantasma de la madrileñofobia en Valencia  ,ABC,09-03-2021,"El cierre perimetral de Semana Santa resucita el fantasma de la madrileñofobia en Valencia   (ABC, 09-03-2021) | "
45,El cisma de Galapagar : Iglesias aceptó el sacrificio tras el no de Garzón y Montero,El Español,27-03-2021,"El cisma de Galapagar : Iglesias aceptó el sacrificio tras el no de Garzón y Montero (El Español, 27-03-2021) | "
46,El dardo de Mónica García a Iglesias : Cansadas de hacer el trabajo sucio para que luego nos aparten  ,El Español,16-03-2021,"El dardo de Mónica García a Iglesias : Cansadas de hacer el trabajo sucio para que luego nos aparten   (El Español, 16-03-2021) | "
47,El detalle de la bronca entre Pablo Iglesias y los neonazis que desata la burla de Twitter,El Español,31-03-2021,"El detalle de la bronca entre Pablo Iglesias y los neonazis que desata la burla de Twitter (El Español, 31-03-2021) | "
48,El Gran Wyoming a un Pablo Iglesias incendiario : A este paso no le van a votar ni los suyos  ,El Español,15-03-2021,"El Gran Wyoming a un Pablo Iglesias incendiario : A este paso no le van a votar ni los suyos   (El Español, 15-03-2021) | "
49,"El grupo que increpó a Iglesias en Coslada es Bastión Frontal , los neonazis más activos en Madrid",ABC,01-04-2021,"El grupo que increpó a Iglesias en Coslada es Bastión Frontal , los neonazis más activos en Madrid (ABC, 01-04-2021) | "
50,El líder del PSOE de Castilla y León critica la batalla de Madrid para ser zona catastrófica  ,ABC,11-01-2021,"El líder del PSOE de Castilla y León critica la batalla de Madrid para ser zona catastrófica   (ABC, 11-01-2021) | "
51,"El Madrid de Vox : evitar el "" asalto "" de Iglesias , sin toque de queda y 'blindar ' los barrios ante el "" miedo "" ",El Español,30-03-2021,"El Madrid de Vox : evitar el "" asalto "" de Iglesias , sin toque de queda y 'blindar ' los barrios ante el "" miedo ""  (El Español, 30-03-2021) | "
52,El PP : Estos Presupuestos esconden una traición de Pedro Sánchez a España  ,El País,3-12-2020,"El PP : Estos Presupuestos esconden una traición de Pedro Sánchez a España   (El País, 3-12-2020) | "
53,El PP aragonés no ve amenazadas sus coaliciones municipales con Cs tras el cisma de Madrid y Murcia  ,ABC,11-03-2021,"El PP aragonés no ve amenazadas sus coaliciones municipales con Cs tras el cisma de Madrid y Murcia   (ABC, 11-03-2021) | "
54,El PP asume que el Gobierno usará una cuarta ola para atacar a Ayuso,ABC,31-03-2021,"El PP asume que el Gobierno usará una cuarta ola para atacar a Ayuso (ABC, 31-03-2021) | "
55,El PP exige a la « maquinaria de Moncloa » que pare el juego sucio y sus ataques contra Isabel Díaz Ayuso,ABC,31-03-2021,"El PP exige a la « maquinaria de Moncloa » que pare el juego sucio y sus ataques contra Isabel Díaz Ayuso (ABC, 31-03-2021) | "
56,El PP sigue la estela de Vox al llevar al Congreso la equiparación del nazismo y comunismo​,Público,marzo de 2021,"El PP sigue la estela de Vox al llevar al Congreso la equiparación del nazismo y comunismo​ (Público, marzo de 2021) | "
57,El PSOE combatirá el lema Socialismo o libertad de Ayuso con una campaña de Ultraderecha o libertad  ,El Español,15-03-2021,"El PSOE combatirá el lema Socialismo o libertad de Ayuso con una campaña de Ultraderecha o libertad   (El Español, 15-03-2021) | "
58,"El reparto de los fondos europeos, otro frente abierto en la guerra de Ayuso contra Sánchez",Público,marzo de 2021,"El reparto de los fondos europeos, otro frente abierto en la guerra de Ayuso contra Sánchez (Público, marzo de 2021) | "
59,"Enrique López , número 4 de la lista del PP en Madrid : "" La campaña del 'turismo de borrachera ' ideada por Moncloa es miserable y sólo busca atacar a Ayuso "" ",El Mundo,05-04-2021,"Enrique López , número 4 de la lista del PP en Madrid : "" La campaña del 'turismo de borrachera ' ideada por Moncloa es miserable y sólo busca atacar a Ayuso ""  (El Mundo, 05-04-2021) | "
60,"Enrique Santiago : "" El PP añora el franquismo e Iglesias es un referente para los demócratas "" ",El Español,06-04-2021,"Enrique Santiago : "" El PP añora el franquismo e Iglesias es un referente para los demócratas ""  (El Español, 06-04-2021) | "
61,Es evidente la apuesta por la violencia que se impone entre los comunistas de Podemos  ,ABC,23-03-2021,"Es evidente la apuesta por la violencia que se impone entre los comunistas de Podemos   (ABC, 23-03-2021) | "
62,Explosivas  ,El País,12-03-2021,"Explosivas   (El País, 12-03-2021) | "
63,Gabilondo e Iglesias tiran de la vivienda para el arranque de campaña en plena batalla dentro del Gobierno,eldiario.es,marzo de 2021,"Gabilondo e Iglesias tiran de la vivienda para el arranque de campaña en plena batalla dentro del Gobierno (eldiario.es, marzo de 2021) | "
64,"Iglesias justifica su candidatura en Madrid para acabar con la última "" trinchera "" que resiste al "" gobierno de coalición "" ",El Mundo,27-03-2021,"Iglesias justifica su candidatura en Madrid para acabar con la última "" trinchera "" que resiste al "" gobierno de coalición ""  (El Mundo, 27-03-2021) | "
65,"Iglesias se encara con 4 radicales en Coslada que le gritaron "" fuera la casta de nuestros barrios "" ",El Español,30-03-2021,"Iglesias se encara con 4 radicales en Coslada que le gritaron "" fuera la casta de nuestros barrios ""  (El Español, 30-03-2021) | "
66,Iglesias se va del Congreso atacando a Ayuso : La UME encontró a ancianos conviviendo con muertos  ,El Español,24-03-2021,"Iglesias se va del Congreso atacando a Ayuso : La UME encontró a ancianos conviviendo con muertos   (El Español, 24-03-2021) | "
67,Iglesias y la guerra de guerrillas  ,El País,14-11-2020,"Iglesias y la guerra de guerrillas   (El País, 14-11-2020) | "
68,"Igualdad, para Irene, dijo Pablo : así empezó la guerra entre Calvo y Montero por el feminismo  ",El Español,27-02-2021,"Igualdad, para Irene, dijo Pablo : así empezó la guerra entre Calvo y Montero por el feminismo   (El Español, 27-02-2021) | "
69,Illa entra en campaña y acusa a Ayuso de desleal : « Ha estado más centrada en atacar al Gobierno »,ABC,05-04-2021,"Illa entra en campaña y acusa a Ayuso de desleal : « Ha estado más centrada en atacar al Gobierno » (ABC, 05-04-2021) | "
70,Isabel Díaz Ayuso concentra el voto útil y se dispara hacia una gran mayoría a un mes de las elecciones en Madrid,El Mundo,03-04-2021,"Isabel Díaz Ayuso concentra el voto útil y se dispara hacia una gran mayoría a un mes de las elecciones en Madrid (El Mundo, 03-04-2021) | "
71,"Javier Cercas : "" Ni el comunismo es hoy un peligro ni lo es el fascismo "" ",eldiario.es,03/04-2021,"Javier Cercas : "" Ni el comunismo es hoy un peligro ni lo es el fascismo ""  (eldiario.es, 03/04-2021) | "
72,La banalización del fascismo,El País,01-04-2021,"La banalización del fascismo (El País, 01-04-2021) | "
73,La batalla capital de Madrid  ,El País,16-03-2021,"La batalla capital de Madrid   (El País, 16-03-2021) | "
74,"La batalla por Madrid : PSOE, Más Madrid y Cs reivindican la moderación ante Ayuso e Iglesias  ",El País,20-03-2021,"La batalla por Madrid : PSOE, Más Madrid y Cs reivindican la moderación ante Ayuso e Iglesias   (El País, 20-03-2021) | "
75,La derecha asesina,ABC,22-03-2021,"La derecha asesina (ABC, 22-03-2021) | "
76,La guerra PP-Cs dinamita el pacto de presupuestos el mismo día que iba a firmarse  ,ABC,11-03-2021,"La guerra PP-Cs dinamita el pacto de presupuestos el mismo día que iba a firmarse   (ABC, 11-03-2021) | "
77,La izquierda reclama a Ayuso que ayude a las familias vulnerables tras su carta amenazadora,Público,marzo de 2021,"La izquierda reclama a Ayuso que ayude a las familias vulnerables tras su carta amenazadora (Público, marzo de 2021) | "
78,"La izquierda violenta vuelve a la calle : más radicales, organizados y contra Díaz Ayuso  ",ABC,16-03-2021,"La izquierda violenta vuelve a la calle : más radicales, organizados y contra Díaz Ayuso   (ABC, 16-03-2021) | "
79,La libertad madrileña y sus enemigos  ,El País,08-01-2021,"La libertad madrileña y sus enemigos   (El País, 08-01-2021) | "
80,La novia de la muerte,El País,06-04-2021,"La novia de la muerte (El País, 06-04-2021) | "
81,La política se enfanga en el Congreso ante la batalla electoral por Madrid  ,El País,18-03-2021,"La política se enfanga en el Congreso ante la batalla electoral por Madrid   (El País, 18-03-2021) | "
82,La principal batalla de la izquierda el 4M será contra la abstención,eldiario.es,abril de 2021,"La principal batalla de la izquierda el 4M será contra la abstención (eldiario.es, abril de 2021) | "
83,La sede de Podemos Cartagena sufre un ataque con material explosivo,ABC,04-04-2021,"La sede de Podemos Cartagena sufre un ataque con material explosivo (ABC, 04-04-2021) | "
84,La traición de Ayuso a la Campos  ,El País,11-03-2021,"La traición de Ayuso a la Campos   (El País, 11-03-2021) | "
85,La última batalla de Iglesias  ,El País,21-03-2021,"La última batalla de Iglesias   (El País, 21-03-2021) | "
86,Las batallas internas se multiplican en el Ejecutivo por la agenda social  ,El País,15-12-2020,"Las batallas internas se multiplican en el Ejecutivo por la agenda social   (El País, 15-12-2020) | "
87,"Los 15 meses de Iglesias en La Moncloa : ataques a la prensa , la monarquía y la democracia española",ABC,31-03-2021,"Los 15 meses de Iglesias en La Moncloa : ataques a la prensa , la monarquía y la democracia española (ABC, 31-03-2021) | "
88,Los datos desmontan los ataques de Podemos : « Madrid es la ciudad más abierta para salir del armario »,ABC,25-03-2021,"Los datos desmontan los ataques de Podemos : « Madrid es la ciudad más abierta para salir del armario » (ABC, 25-03-2021) | "
89,Los dinamiteros de Podemos-ERC  ,El País,12-11-2020,"Los dinamiteros de Podemos-ERC   (El País, 12-11-2020) | "
90,Los provocadores y fabricantes de bulos se preparan para la guerra digital del 4-M  ,El País,22-03-2021,"Los provocadores y fabricantes de bulos se preparan para la guerra digital del 4-M   (El País, 22-03-2021) | "
91,Madrid: la última batalla de Pablo Iglesias en la plaza que vio nacer a Podemos,eldiario.es,marzo de 2021,"Madrid: la última batalla de Pablo Iglesias en la plaza que vio nacer a Podemos (eldiario.es, marzo de 2021) | "
92,Monedero agita el odio en Vallecas ( y ayuda a Vox),El Español,05-04-2021,"Monedero agita el odio en Vallecas ( y ayuda a Vox) (El Español, 05-04-2021) | "
93,"Pablo Iglesias , ratificado por la militancia como candidato de Podemos a la Presidencia de la Comunidad de Madrid",El Mundo,28-03-2021,"Pablo Iglesias , ratificado por la militancia como candidato de Podemos a la Presidencia de la Comunidad de Madrid (El Mundo, 28-03-2021) | "
94,Pablo Iglesias incendia la precampaña en Madrid : Ayuso acabará imputada y en prisión  ,El Español,19-03-2021,"Pablo Iglesias incendia la precampaña en Madrid : Ayuso acabará imputada y en prisión   (El Español, 19-03-2021) | "
95,"Pablo Iglesias se inspiró en Juego de Tronos en su golpe en Madrid : él es Tyrion y Ayuso, la Khaleesi  ",El Español,21-03-2021,"Pablo Iglesias se inspiró en Juego de Tronos en su golpe en Madrid : él es Tyrion y Ayuso, la Khaleesi   (El Español, 21-03-2021) | "
96,Patria o muerte  ,El País,13-03-2021,"Patria o muerte   (El País, 13-03-2021) | "
97,"Podemos, más sofista que comunista  ",El Español,05-03-2021,"Podemos, más sofista que comunista   (El Español, 05-03-2021) | "
98,Por qué la guerra de la izquierda contra el Zendal ha ido demasiado lejos y se le puede volver en contra  ,El Español,14-02-2021,"Por qué la guerra de la izquierda contra el Zendal ha ido demasiado lejos y se le puede volver en contra   (El Español, 14-02-2021) | "
99,Pradera amenaza de muerte a Ayuso: Hay que sacar la macheta del carnicero para cortarle el cuello  ,ABC,20-03-2021,"Pradera amenaza de muerte a Ayuso: Hay que sacar la macheta del carnicero para cortarle el cuello   (ABC, 20-03-2021) | "
100,Revilla prevé una bomba de Covid en Madrid en 15 días y Ayuso le responde : Parece que es virólogo  ,El Español,23-03-2021,"Revilla prevé una bomba de Covid en Madrid en 15 días y Ayuso le responde : Parece que es virólogo   (El Español, 23-03-2021) | "
101,Sánchez acusa al PP de dinamitar la renovación del CGPJ vetando a los jueces que quiere Podemos  ,El Español,26-02-2021,"Sánchez acusa al PP de dinamitar la renovación del CGPJ vetando a los jueces que quiere Podemos   (El Español, 26-02-2021) | "
102,"Sánchez arremete contra Ayuso por contraponer comunismo y libertad : "" Cualquiera con dos dedos de frente sabe que ese dilema es falso "" ",El Mundo,04-04-2021,"Sánchez arremete contra Ayuso por contraponer comunismo y libertad : "" Cualquiera con dos dedos de frente sabe que ese dilema es falso ""  (El Mundo, 04-04-2021) | "
103,Sánchez se sirve de datos sesgados para atacar a Díaz Ayuso,ABC,05-04-2021,"Sánchez se sirve de datos sesgados para atacar a Díaz Ayuso (ABC, 05-04-2021) | "
104,Serigne Mbayé : “ Madrid es muy racista ”,El País,01-04-2021,"Serigne Mbayé : “ Madrid es muy racista ” (El País, 01-04-2021) | "
105,Sola ante el peligro  ,ABC,17-03-2021,"Sola ante el peligro   (ABC, 17-03-2021) | "
106,Suicidios ejemplares  ,El País,12-03-2021,"Suicidios ejemplares   (El País, 12-03-2021) | "
107,"Telemadrid, el servicio público como arma política  ",El País,14-02-2021,"Telemadrid, el servicio público como arma política   (El País, 14-02-2021) | "
108,"Toni Cantó llama a "" unir fuerzas "" y alerta : "" El peligro de que gobiernen Sánchez e Iglesias es real "" ",El Español,25-03-2021,"Toni Cantó llama a "" unir fuerzas "" y alerta : "" El peligro de que gobiernen Sánchez e Iglesias es real ""  (El Español, 25-03-2021) | "
109,Un grupo de radicales increpa a Iglesias en Coslada : « Fuera la casta de nuestros barrios »,ABC,31-03-2021,"Un grupo de radicales increpa a Iglesias en Coslada : « Fuera la casta de nuestros barrios » (ABC, 31-03-2021) | "
110,Un peligro suelto,ABC,05-04-2021,"Un peligro suelto (ABC, 05-04-2021) | "
111,Usted tiene ojos de mujer fascista,El Español,03-04-2021,"Usted tiene ojos de mujer fascista (El Español, 03-04-2021) | "
112,Vox ataca a Ayuso y asegura que «no va a aglutinar» el voto del centro derecha y que sus resultados serán «extraordinarios»,ABC,30-03-2021,"Vox ataca a Ayuso y asegura que «no va a aglutinar» el voto del centro derecha y que sus resultados serán «extraordinarios» (ABC, 30-03-2021) | "
113,Ximo Puig carga contra el Comunismo o libertad de Ayuso en Madrid : Trata a los ciudadanos como idiotas  ,ABC,20-03-2021,"Ximo Puig carga contra el Comunismo o libertad de Ayuso en Madrid : Trata a los ciudadanos como idiotas   (ABC, 20-03-2021) | "
114,"Y ahora, qué demonios hacemos con los comunistas  ",El País,16-03-2021,"Y ahora, qué demonios hacemos con los comunistas   (El País, 16-03-2021) | "
115,El excepcionalismo disparatado de Ayuso,El País,07-04-2021,"El excepcionalismo disparatado de Ayuso (El País, 07-04-2021) | "
116,Ayuso usa la vacuna Sputnik para arremeter contra la gestión de Sánchez,El País,06-04-2021,"Ayuso usa la vacuna Sputnik para arremeter contra la gestión de Sánchez (El País, 06-04-2021) | "
117,Iglesias retoma su guerra contra los periodistas y les acusa de inducir ataques racistas y homófobos,El Español,08-04-2021,"Iglesias retoma su guerra contra los periodistas y les acusa de inducir ataques racistas y homófobos (El Español, 08-04-2021) | "
118,En defensa de Carlos Herrera : Podemos es sólo odio y miedo,El Español,08-04-2021,"En defensa de Carlos Herrera : Podemos es sólo odio y miedo (El Español, 08-04-2021) | "
119,"Iglesias acusa a "" Abascal y sus matones "" de provocar la "" carga "" policial y la "" violencia "" en Vallecas",El Español,07-04-2021,"Iglesias acusa a "" Abascal y sus matones "" de provocar la "" carga "" policial y la "" violencia "" en Vallecas (El Español, 07-04-2021) | "
120,Iglesias vincula el ataque a la sede de Podemos en Cartagena con las críticas de Carlos Herrera,El Español,07-04-2021,"Iglesias vincula el ataque a la sede de Podemos en Cartagena con las críticas de Carlos Herrera (El Español, 07-04-2021) | "
121,El ataque de Echenique a Televisión Española con un 'recado ' para Felipe VI,El Español,07-04-2021,"El ataque de Echenique a Televisión Española con un 'recado ' para Felipe VI (El Español, 07-04-2021) | "
122,"Iglesias utiliza la denuncia del futbolista Diakhaby en Cádiz para su campaña de que "" Madrid es racista "" ",El Español,06-04-2021,"Iglesias utiliza la denuncia del futbolista Diakhaby en Cádiz para su campaña de que "" Madrid es racista ""  (El Español, 06-04-2021) | "
123,Sánchez y Ayuso convierten la vacunación en el campo de batalla de la campaña del 4-M,El Español,07-04-2021,"Sánchez y Ayuso convierten la vacunación en el campo de batalla de la campaña del 4-M (El Español, 07-04-2021) | "
124,"Gabilondo : "" Parece que entre comunismo o libertad , Ayuso elige Putin "" al sondear la vacuna rusa",El Español,06-04-2021,"Gabilondo : "" Parece que entre comunismo o libertad , Ayuso elige Putin "" al sondear la vacuna rusa (El Español, 06-04-2021) | "
125,El zasca de Martínez-Almeida a TVE tras un rótulo que arremete contra Madrid,El Español,31-03-2021,"El zasca de Martínez-Almeida a TVE tras un rótulo que arremete contra Madrid (El Español, 31-03-2021) | "
126,"Pedradas , botellazos y gritos de "" fascistas "" : cargas policiales , heridos y detenidos en la protesta violenta por el mitin de Vox",El Mundo,07-04-2021,"Pedradas , botellazos y gritos de "" fascistas "" : cargas policiales , heridos y detenidos en la protesta violenta por el mitin de Vox (El Mundo, 07-04-2021) | "
127,"Bertrand Ndongo , asesor de Vox , se rebela contra su partido : "" Damos la razón a los que piensan que Vox es racista "" ",El Mundo,06-04-2021,"Bertrand Ndongo , asesor de Vox , se rebela contra su partido : "" Damos la razón a los que piensan que Vox es racista ""  (El Mundo, 06-04-2021) | "
128,Cicatrices,El País,11-04-2021,"Cicatrices (El País, 11-04-2021) | "
129,La feroz batalla nacional por el poder de Madrid,El País,11-04-2021,"La feroz batalla nacional por el poder de Madrid (El País, 11-04-2021) | "
130,"La provocadora , el acelerado y el soso",El País,11-04-2021,"La provocadora , el acelerado y el soso (El País, 11-04-2021) | "
131,La Fiscalía pide un año de cárcel para un periodista de ‘ ok diario ’ por acoso a los hijos de Iglesias y Montero,El País,08-04-2021,"La Fiscalía pide un año de cárcel para un periodista de ‘ ok diario ’ por acoso a los hijos de Iglesias y Montero (El País, 08-04-2021) | "
132,La reyerta contra Vox en Vallecas ensucia la campaña,El País,08-04-2021,"La reyerta contra Vox en Vallecas ensucia la campaña (El País, 08-04-2021) | "
133,Unidas Podemos se reivindica como “ el escudo social ” del Gobierno en el traspaso de carteras a Díaz y Belarra,El País,31-03-2021,"Unidas Podemos se reivindica como “ el escudo social ” del Gobierno en el traspaso de carteras a Díaz y Belarra (El País, 31-03-2021) | "
134,Un asesinato político,ABC,11-04-2021,"Un asesinato político (ABC, 11-04-2021) | "
