,Palabra,Cita,Titular,Diario,Fecha
103,ataques,1,"Almeida acusa a PSOE de ""legitimar los ataques a Vox"" y los socialistas responden que ""siempre"" han condenado la violencia",El Mundo,2021-04-27
104,guerras,0,Libertad e igualdad: las guerras culturales que pasan por las aulas,El Mundo,2021-04-27
105,violencia,1,Iglesias mete a la Corona en campaña por no condenar la “violencia fascista”,La Razón,2021-04-27
99,fascismo,1,"Pablo Iglesias: ""El fascismo y los discursos del odio son un mecanismo para que no cambien las cosas""",eldiario.es,2021-04-27
106,Fascismo,0,"Fascismo no, comunismo tampoco",La Razón,2021-04-27
141,fascismo,0,Al fascismo se le destruye en las urnas,El País,2021-04-28
142,batalla,0,"La batalla en la ciudad: PP, Vox y Cs tienen una ventaja de casi 10 puntos",La Razón,2021-04-28
143,violencia,0,"Bal pide al resto de candidatos un pacto por el ""respeto y la conciliación"" frente a la violencia",El Español,2021-04-28
144,muerto,1,"Denunciada una tienda por vender camisetas con el rostro de Pablo Iglesias ensangrentado, con una diana en la cabeza o el texto: ""Se busca vivo o muerto""",eldiario.es,2021-04-28
147,nazismo,1,Elecciones Madrid El uso de 'nazismo' y 'Holocausto' en la campaña electoral: lo que piensa la comunidad judía,ABC,2021-04-28
146,muerte,0,Nuevos envíos de amenazas de muerte con balas sacuden la recta final de la campaña,eldiario.es,2021-04-28
149,ensangrentado,0,Denuncian ante la Fiscalía la venta de camisetas con la imagen de Pablo Iglesias ensangrentado,La Razón,2021-04-28
140,batalla,1,Podcast ‘La batalla por Madrid’ | Ep. 8: El factor Venezuela,El País,2021-04-28
145,ensangrentado,0,"Una web vende camisetas con Iglesias en una diana y ensangrentado: ""Se busca vivo o muerto""",El Español,2021-04-28
139,fascismo,0,Todo es fascismo,El Mundo,2021-04-28
129,violencia,0,Edmundo Bal envía una carta a los otros cinco candidatos para que firmen un pacto contra la violencia,ABC,2021-04-28
137,batalla,1,‘Podcast’ ‘La batalla por Madrid’ | Ep. 8: El ‘factor Venezuela’,El País,2021-04-28
136,muerto,1,"Una web vende camisetas con Iglesias en una diana y ensangrentado: ""Se busca vivo o muerto""",El Español,2021-04-28
